hsk,characters,pinyin,english,extra,len,c1,c2,p1,p2,pinyin_num
6,志气,zhìqì,ambition; resolve; backbone; drive; spirit,,2,志,气,zhi4,qi4,zhi4 qi4
6,智商,zhìshāng,IQ (intelligence quotient),,2,智,商,zhi4,shang1,zhi4 shang1
4,至少,zhìshǎo,at least; (to say the) least,,2,至,少,zhi4,shao3,zhi4 shao3
6,致使,zhìshǐ,to cause; to result in,,2,致,使,zhi4,shi3,zhi4 shi3
5,秩序,zhìxù,order (orderly); order (sequence); social order; the state (of society); CL:個|个[ge4],,2,秩,序,zhi4,xu4,zhi4 xu4
5,至于,zhìyú,as for; as to; to go so far as to,,2,至,于,zhi4,yu2,zhi4 yu2
5,志愿者,zhìyuànzhě,volunteer,,3,志,愿,zhi4,yuan4,zhi4 yuan4 zhe3
6,制约,zhìyuē,to restrict; condition,,2,制,约,zhi4,yue1,zhi4 yue1
4,制造,zhìzào,to manufacture; to make,,2,制,造,zhi4,zao4,zhi4 zao4
6,制止,zhìzhǐ,to curb; to put a stop to; to stop; to check; to limit,,2,制,止,zhi4,zhi3,zhi4 zhi3
5,制作,zhìzuò,make; manufacture,,2,制,作,zhi4,zuo4,zhi4 zuo4
5,钟,zhōng,"clock; o\'clock; time as measured in hours and minutes; bell; CL:架[jia4],座[zuo4]",,1,钟,,zhong1,,zhong1
6,忠诚,zhōngchéng,devoted; fidelity; loyal; loyalty,,2,忠,诚,zhong1,cheng2,zhong1 cheng2
6,终点,zhōngdiǎn,the end; end point; finishing line (in a race); destination; terminus; CL:個|个[ge4],,2,终,点,zhong1,dian3,zhong1 dian3
6,中断,zhōngduàn,to cut short; to break off; to discontinue,,2,中,断,zhong1,duan4,zhong1 duan4
1,中国,Zhōngguó,China; Middle Kingdom,,2,中,国,Zhong1,guo2,Zhong1 guo2
3,中间,zhōngjiān,between; intermediate; mid; middle,,2,中,间,zhong1,jian1,zhong1 jian1
5,中介,zhōngjiè,to act as intermediary; to link; intermediate; inter-; agency; agent,,2,中,介,zhong1,jie4,zhong1 jie4
6,终究,zhōngjiū,in the end; after all is said and done,,2,终,究,zhong1,jiu1,zhong1 jiu1
6,中立,zhōnglì,neutral,,2,中,立,zhong1,li4,zhong1 li4
6,终年,zhōngnián,entire year; throughout the year; age at death,,2,终,年,zhong1,nian2,zhong1 nian2
6,终身,zhōngshēn,lifelong; all one\'s life; marriage,,2,终,身,zhong1,shen1,zhong1 shen1
6,忠实,zhōngshí,faithful,,2,忠,实,zhong1,shi2,zhong1 shi2
4,中文,Zhōngwén,Chinese; Chinese written language; Chinese writing,,2,中,文,Zhong1,wen2,Zhong1 wen2
1,中午,zhōngwǔ,noon; midday; CL:個|个[ge4],,2,中,午,zhong1,wu3,zhong1 wu3
5,中心,zhōngxīn,center; heart; core; CL:個|个[ge4],,2,中,心,zhong1,xin1,zhong1 xin1
6,衷心,zhōngxīn,heartfelt; wholehearted; cordial,,2,衷,心,zhong1,xin1,zhong1 xin1
5,中旬,zhōngxún,middle third of a month,,2,中,旬,zhong1,xun2,zhong1 xun2
6,中央,zhōngyāng,central; middle; center; central authorities (of a state),,2,中,央,zhong1,yang1,zhong1 yang1
3,终于,zhōngyú,at last; in the end; finally; eventually,,2,终,于,zhong1,yu2,zhong1 yu2
6,终止,zhōngzhǐ,to stop; to terminate (law),,2,终,止,zhong1,zhi3,zhong1 zhi3
3,种,zhǒng,"abbr. for 物種|物种, genus; race; seed; breed; species; strain; kind; type; has guts (i.e. courage); nerve; classifier for types: kind, sort; classifier for languages",,1,种,,zhong3,,zhong3
6,肿瘤,zhǒngliú,tumor,,2,肿,瘤,zhong3,liu2,zhong3 liu2
6,种子,zhǒngzi,"seed; CL:顆|颗[ke1],粒[li4]",,2,种,子,zhong3,zi5,zhong3 zi5
6,种族,zhǒngzú,race; ethnicity,,2,种,族,zhong3,zu2,zhong3 zu2
5,重,zhòng,heavy; serious,,1,重,,zhong4,,zhong4
4,重点,chóngdiǎn,emphasis; focal point; priority; key; with the emphasis on; focusing on,,2,重,点,zhong4,dian3,zhong4 dian3
5,重量,zhòngliàng,weight; CL:個|个[ge4],,2,重,量,zhong4,liang4,zhong4 liang4
4,重视,zhòngshì,to attach importance to sth; to value,,2,重,视,zhong4,shi4,zhong4 shi4
6,众所周知,zhòngsuǒzhōuzhī,as everyone knows (idiom),,4,众,所,zhong4,suo3,zhong4 suo3 zhou1 zhi1
6,重心,zhòngxīn,center of gravity; central core; main part,,2,重,心,zhong4,xin1,zhong4 xin1
3,重要,zhòngyào,important; significant; major,,2,重,要,zhong4,yao4,zhong4 yao4
6,州,zhōu,prefecture; state (e.g. of US); province (old); administrative division (old),,1,州,,zhou1,,zhou1
6,舟,zhōu,boat,,1,舟,,zhou1,,zhou1
6,粥,zhōu,porridge (of rice or millet),,1,粥,,zhou1,,zhou1
6,周边,zhōubiān,periphery; rim,,2,周,边,zhou1,bian1,zhou1 bian1
5,周到,zhōudào,thoughtful; considerate; attentive; thorough,,2,周,到,zhou1,dao5,zhou1 dao5
6,周密,zhōumì,careful; thorough,,2,周,密,zhou1,mi4,zhou1 mi4
3,周末,zhōumò,weekend,,2,周,末,zhou1,mo4,zhou1 mo4
6,周年,zhōunián,anniversary; annual,,2,周,年,zhou1,nian2,zhou1 nian2
6,周期,zhōuqī,period; cycle,,2,周,期,zhou1,qi1,zhou1 qi1
4,周围,zhōuwéi,surroundings; environment; to encompass,,2,周,围,zhou1,wei2,zhou1 wei2
6,周折,zhōuzhé,complication; twists and turns; problem; setback,,2,周,折,zhou1,zhe2,zhou1 zhe2
6,周转,zhōuzhuǎn,turnover (in cash or personnel); to have enough resources to cover a need,,2,周,转,zhou1,zhuan3,zhou1 zhuan3
6,皱纹,zhòuwén,wrinkle; CL:道[dao4],,2,皱,纹,zhou4,wen2,zhou4 wen2
6,昼夜,zhòuyè,"day and night; period of 24 hours; continuously, without stop",,2,昼,夜,zhou4,ye4,zhou4 ye4
4,猪,zhū,"hog; pig; swine; CL:口[kou3],頭|头[tou2]",,1,猪,,zhu1,,zhu1
6,株,zhū,tree trunk; stump (tree root); a plant; classifier for trees or plants; to involve others (in shady business),,1,株,,zhu1,,zhu1
6,诸位,zhūwèi,(pron) everyone; Ladies and Gentlemen; Sirs,,2,诸,位,zhu1,wei4,zhu1 wei4
5,逐步,zhúbù,progressively; step by step,,2,逐,步,zhu2,bu4,zhu2 bu4
4,逐渐,zhújiàn,gradually,,2,逐,渐,zhu2,jian4,zhu2 jian4
6,逐年,zhúnián,year after year; with each passing year; over the years,,2,逐,年,zhu2,nian2,zhu2 nian2
